architecture,year,field_id,field_name,publications
Perceptron,2007,11,Agricultural and Biological Sciences,15
Perceptron,2007,12,Arts and Humanities,2
Perceptron,2007,13,"Biochemistry, Genetics and Molecular Biology",48
Perceptron,2007,14,"Business, Management and Accounting",10
Perceptron,2007,15,Chemical Engineering,2
Perceptron,2007,16,Chemistry,17
Perceptron,2007,17,Computer Science,553
Perceptron,2007,18,Decision Sciences,21
Perceptron,2007,19,Earth and Planetary Sciences,10
Perceptron,2007,20,"Economics, Econometrics and Finance",13
Perceptron,2007,21,Energy,4
Perceptron,2007,22,Engineering,261
Perceptron,2007,23,Environmental Science,82
Perceptron,2007,24,Immunology and Microbiology,1
Perceptron,2007,25,Materials Science,6
Perceptron,2007,26,Mathematics,5
Perceptron,2007,27,Medicine,50
Perceptron,2007,28,Neuroscience,47
